INCIDENT TYPE;INCIDENT NUMBER;ADDRESS;CITY;STATE CODE;ZIP CODE;APPARATUS NAME;DISPATCH NOTIFIED DATE/TIME;DISPATCH AT;ENROUTE AT;ARRIVE AT
746 - Carbon monoxide detector activation,  no CO;2023-230023246;11518 LAUREN LN;DAVIDSON;NC;28036;Engine 2;23/01/2023 11:20;23/01/2023 11:20;23/01/2023 11:20;23/01/2023 11:23
745 - Alarm system activation,  no fire - unintentional;2023-013027;19530 Mt Zion Py;Cornelius;NC;28031;Engine 1;22/01/2023 13:40;22/01/2023 13:40;22/01/2023 13:41;22/01/2023 13:45
745 - Alarm system activation,  no fire - unintentional;2023-013112;19116 STATESVILLE RD;CORNELIUS;NC;28031;Engine 1;22/01/2023 17:03;22/01/2023 17:03;22/01/2023 17:03;22/01/2023 17:08
745 - Alarm system activation,  no fire - unintentional;2023-016350;100 N MAIN ST;DAVIDSON;NC;28036;Battalion 1;28/01/2023 0:24;28/01/2023 0:24;28/01/2023 0:25;28/01/2023 0:42
745 - Alarm system activation,  no fire - unintentional;2023-016350;100 N MAIN ST;DAVIDSON;NC;28036;Engine 2;28/01/2023 0:24;28/01/2023 0:24;28/01/2023 0:26;28/01/2023 0:30
745 - Alarm system activation,  no fire - unintentional;2023-025977;20820 TORRENCE CHAPEL RD;CORNELIUS;NC;28031;Engine 1;12/02/2023 21:05;12/02/2023 21:05;12/02/2023 21:06;12/02/2023 21:12
745 - Alarm system activation,  no fire - unintentional;2023-024732;400 AVINGER LN;DAVIDSON;NC;28036;Battalion 1;10/02/2023 19:02;10/02/2023 19:02;10/02/2023 19:02;10/02/2023 19:07
745 - Alarm system activation,  no fire - unintentional;2023-024732;400 AVINGER LN;DAVIDSON;NC;28036;Engine 2;10/02/2023 19:02;10/02/2023 19:02;10/02/2023 19:03;10/02/2023 19:09
745 - Alarm system activation,  no fire - unintentional;2023-024732;400 AVINGER LN;DAVIDSON;NC;28036;Engine 1;10/02/2023 19:02;10/02/2023 19:02;10/02/2023 19:02;10/02/2023 19:06
745 - Alarm system activation,  no fire - unintentional;2023-007275;215 S MAIN ST;DAVIDSON;NC;28036;Engine 1;12/01/2023 16:03;12/01/2023 16:03;12/01/2023 16:03;12/01/2023 16:06
745 - Alarm system activation,  no fire - unintentional;2023-019789;635 SOUTH ST;DAVIDSON;NC;28036;Engine 1;02/02/2023 16:50;02/02/2023 16:50;02/02/2023 16:50;02/02/2023 16:51
745 - Alarm system activation,  no fire - unintentional;2023-001584;400 AVINGER LN;DAVIDSON;NC;28036;Engine 1;03/01/2023 10:01;03/01/2023 10:01;03/01/2023 10:02;03/01/2023 10:06
744 - Detector activation,  no fire - unintentional;2023-015668;431 PENINSULA DR;DAVIDSON;NC;28036;Engine 2;26/01/2023 22:35;26/01/2023 22:35;26/01/2023 22:36;26/01/2023 22:42
744 - Detector activation,  no fire - unintentional;2023-022820;406 RIDGE RD;DAVIDSON;NC;28036;Engine 1;07/02/2023 17:41;07/02/2023 17:41;07/02/2023 17:42;07/02/2023 17:45
744 - Detector activation,  no fire - unintentional;2023-015668;431 PENINSULA DR;DAVIDSON;NC;28036;Engine 1;26/01/2023 22:35;26/01/2023 22:35;26/01/2023 22:37;26/01/2023 22:39
744 - Detector activation,  no fire - unintentional;2023-015668;431 PENINSULA DR;DAVIDSON;NC;28036;Battalion 1;26/01/2023 22:35;26/01/2023 22:35;26/01/2023 22:37;26/01/2023 22:42
743 - Smoke detector activation,  no fire - unintentional;2023-031456;17627 STUTTGART RD;DAVIDSON;NC;28036;Engine 2;21/02/2023 16:00;21/02/2023 16:00;21/02/2023 16:01;21/02/2023 16:07
743 - Smoke detector activation,  no fire - unintentional;2023-023322;511 S MAIN ST;DAVIDSON;NC;28036;Engine 1;08/02/2023 13:54;08/02/2023 13:54;08/02/2023 13:55;08/02/2023 13:57
743 - Smoke detector activation,  no fire - unintentional;2023-023322;511 S MAIN ST;DAVIDSON;NC;28036;Battalion 1;08/02/2023 13:54;08/02/2023 13:54;08/02/2023 13:55;08/02/2023 13:57
743 - Smoke detector activation,  no fire - unintentional;2023-030304;112 Patterson Court Cr;Davidson;NC;28036;Engine 1;19/02/2023 19:25;19/02/2023 19:25;19/02/2023 19:26;19/02/2023 19:28
743 - Smoke detector activation,  no fire - unintentional;2023-017672;251 SOUTH ST;DAVIDSON;NC;28036;Tower 1;30/01/2023 9:26;30/01/2023 9:26;30/01/2023 9:27;30/01/2023 9:28
743 - Smoke detector activation,  no fire - unintentional;2023-006769;111 DORMITORY DR;DAVIDSON;NC;28036;Engine 2;11/01/2023 18:06;11/01/2023 18:06;11/01/2023 18:07;11/01/2023 18:12
743 - Smoke detector activation,  no fire - unintentional;2023-017672;251 SOUTH ST;DAVIDSON;NC;28036;Car 1;30/01/2023 9:26;30/01/2023 9:26;30/01/2023 9:27;30/01/2023 9:28
743 - Smoke detector activation,  no fire - unintentional;2023-017672;251 SOUTH ST;DAVIDSON;NC;28036;Engine 1;30/01/2023 9:26;30/01/2023 9:26;30/01/2023 9:27;30/01/2023 9:28
743 - Smoke detector activation,  no fire - unintentional;2023-017672;251 SOUTH ST;DAVIDSON;NC;28036;Car 2;30/01/2023 9:26;30/01/2023 9:26;30/01/2023 9:27;30/01/2023 9:28
743 - Smoke detector activation,  no fire - unintentional;2023-006769;111 DORMITORY DR;DAVIDSON;NC;28036;Battalion 1;11/01/2023 18:06;11/01/2023 18:06;11/01/2023 18:07;11/01/2023 18:12
743 - Smoke detector activation,  no fire - unintentional;2023-006769;111 DORMITORY DR;DAVIDSON;NC;28036;Engine 1;11/01/2023 18:06;11/01/2023 18:06;11/01/2023 18:11;11/01/2023 18:26
743 - Smoke detector activation,  no fire - unintentional;2023-007774;526 LORIMER RD;DAVIDSON;NC;28036;Battalion 1;13/01/2023 12:12;13/01/2023 12:12;13/01/2023 12:12;13/01/2023 12:20
740 - Unintentional transmission of alarm,  other;2023-030162;18403 DEMBRIDGE DR;DAVIDSON;NC;28036;Car 5;19/02/2023 14:34;19/02/2023 14:34;19/02/2023 14:35;19/02/2023 14:42
740 - Unintentional transmission of alarm,  other;2023-030162;18403 DEMBRIDGE DR;DAVIDSON;NC;28036;Engine 2;19/02/2023 14:34;19/02/2023 14:34;19/02/2023 14:35;19/02/2023 14:42
740 - Unintentional transmission of alarm,  other;2023-018153;251 SOUTH ST;DAVIDSON;NC;28036;Engine 2;31/01/2023 0:40;31/01/2023 0:40;31/01/2023 0:41;31/01/2023 0:43
740 - Unintentional transmission of alarm,  other;2023-014838;635 SOUTH ST;DAVIDSON;NC;28036;Engine 1;25/01/2023 15:52;25/01/2023 15:52;25/01/2023 15:53;25/01/2023 15:55
